,Address,Area,Baths,Beds,Price
327,"1336 Van Buren St Nw, Washington, DC 20012",0.14 acres,3,4,$500k
328,"1340 W St Nw, Washington, DC 20009",0.02 acres,1,3,$1.12m
329,"1112 Savannah St Se Apt 23, Washington, DC 20032",857 sqft,1,2,$246k
330,"734 Hamilton St Nw, Washington, DC 20011","1,754 sqft",4,4,$749k
331,"1286 Morse St Ne #2, Washington, DC 20002","1,900 sqft",4,3,$979k
332,"1286 Morse St Ne #1, Washington, DC 20002","1,650 sqft",3,3,$799k
333,"515 Hilltop Ter Se, Washington, DC 20019","1,530 sqft",2,3,$375k
334,"4903 New Hampshire Ave Nw, Washington, DC 20011","1,836 sqft",3,4,$699k
335,"2737 Devonshire Pl Nw Apt 514, Washington, DC 20008","1,348 sqft",2,2,$739k
336,"639 Hamilton St Nw, Washington, DC 20011","1,488 sqft",2,2,$630k
337,"624 Kenyon St Nw, Washington, DC 20010",0.05 acres,4,4,$699k
338,"306 Burbank St Se, Washington, DC 20019",0.05 acres,1,2,$295k
339,"1400 Iris St Nw, Washington, DC 20012",0.21 acres,6,6,$1.80m
340,"4200 Livingston Rd Se, Washington, DC 20032","1,584 sqft",2,3,$340k
341,"3917 Burns Ct Se, Washington, DC 20019","1,280 sqft",3,3,$315k
342,"417 U St Nw, Washington, DC 20001","3,272 sqft",1,3,$1.10m
343,"1409 44th St Nw, Washington, DC 20007","2,481 sqft",3,4,$1.25m
344,"419 K St Se, Washington, DC 20003","2,205 sqft",5,4,$1.25m
345,"3622 T St Nw, Washington, DC 20007","1,550 sqft",3,2,$975k
346,"1603 N Carolina Ave Ne Apt 1, Washington, DC 20002",620 sqft,2,1,$400k
347,"1458 Columbia Rd Nw Apt 110, Washington, DC 20009","1,026 sqft",1,2,$475k
348,"117 12th St Se, Washington, DC 20003",0.05 acres,N/A,N/A,$2.40m
349,"4800 C St Se Apt 301, Washington, DC 20019",926 sqft,1,2,$99k
350,"1163 46th Pl Se, Washington, DC 20019",0.09 acres,2,3,$300k
351,"448 Irving St Nw, Washington, DC 20010",0.02 acres,1,2,$575k
352,"3119 N St Nw, Washington, DC 20007","3,240 sqft",4,4,$1.98m
353,"321 S Carolina Ave Se, Washington, DC 20003","2,000 sqft",3,4,$1.59m
354,"916 45th Pl Ne, Washington, DC 20019",0.06 acres,2,2,$319k
355,"5040 1st St Nw Apt 201, Washington, DC 20011",598 sqft,1,1,$285k
356,"3121 Cleveland Ave Nw, Washington, DC 20008","5,496 sqft",5,6,$1.60m
357,"3822 Livingston St Nw, Washington, DC 20015","3,647 sqft",4,4,$1.80m
358,"3816 W St Se Unit A, Washington, DC 20020","1,230 sqft",1,2,$125k
359,"400 Massachusetts Ave Nw Apt 510, Washington, DC 20001",735 sqft,1,1,$419k
360,"950 25th St Nw Apt 314n, Washington, DC 20037",610 sqft,1,1,$290k
361,"3 Washington Cir Nw Apt 301, Washington, DC 20037","1,757 sqft",3,4,$1.20m
362,"3104 Worthington St Nw, Washington, DC 20015","1,396 sqft",2,3,$868k
363,"6630 Blair Rd Nw, Washington, DC 20012",0.03 acres,1,3,$450k
364,"6109 Clay St Ne, Washington, DC 20019","2,534 sqft",3,5,$500k
365,"528 47th St Ne, Washington, DC 20019",0.18 acres,2,5,$520k
366,"1512 P St Nw, Washington, DC 20005","3,600 sqft",4,4,$2.20m
367,"550 N St Sw Apt S502, Washington, DC 20024","1,800 sqft",3,3,$1.80m
368,"1431 R St Nw, Washington, DC 20009","3,610 sqft",4,5,$1.75m
369,"3620 Connecticut Ave Nw Apt 5, Washington, DC 20008",825 sqft,1,1,$366k
370,"3437 Carpenter St Se, Washington, DC 20020",0.11 acres,2,3,$375k
371,"1440 Columbia Rd Nw Apt 204, Washington, DC 20009",466 sqft,1,1,$339k
372,"2710 Poplar St Nw, Washington, DC 20007",900 sqft,2,1,$799k
373,"1420 Clifton St Nw Apt 405, Washington, DC 20009",850 sqft,2,2,$599k
374,"1440 N St Nw Apt 309, Washington, DC 20005",421 sqft,1,1,$300k
375,"5111 Jay St Ne, Washington, DC 20019",0.05 acres,3,2,$380k
376,"4323 3rd St Nw, Washington, DC 20011","2,058 sqft",4,4,$850k
377,"203 P St Nw, Washington, DC 20001",0.04 acres,1,2,$750k
378,"920 I St Nw Apt 505, Washington, DC 20001","1,947 sqft",4,2,$2.00m
379,"1917 Rosedale St Ne Apt 2, Washington, DC 20002",681 sqft,1,2,$375k
380,"1670 32nd St Nw, Washington, DC 20007",0.03 acres,3,2,$1.08m
381,"3401 38th St Nw Apt 324, Washington, DC 20016",612 sqft,1,1,$380k
382,"638 15th St Ne, Washington, DC 20002","2,100 sqft",1,3,$625k
383,"58 Bryant St Nw, Washington, DC 20001","2,324 sqft",4,5,$900k
384,"3770 W St Nw, Washington, DC 20007","1,512 sqft",3,3,$925k
385,"211 8th St Ne, Washington, DC 20002","1,220 sqft",N/A,N/A,$1.35m
386,"1613 Harvard St Nw Apt 316, Washington, DC 20009","1,009 sqft",1,2,$589k
387,"1435 Good Hope Rd Se, Washington, DC 20020",0.12 acres,4,5,$600k
388,"471 Madison St Ne, Washington, DC 20011",0.09 acres,2,3,$430k
389,"3104 3106 Dakota Ave Ne, Washington, DC 20018",0.23 acres,N/A,N/A,$725k
390,"1340 Monroe St Nw Apt 401, Washington, DC 20010",877 sqft,2,2,$600k
391,"3128 Sherman Ave Nw Apt 9, Washington, DC 20010",854 sqft,1,2,$300k
392,"1647 35th St Nw, Washington, DC 20007",0.07 acres,3,2,$949k
393,"1917 Rosedale St Ne Apt 3, Washington, DC 20002",725 sqft,2,2,$350k
394,"634 N Carolina Ave Se Apt 5, Washington, DC 20003","1,038 sqft",1,2,$564k
395,"1215 Morris Rd Se, Washington, DC 20020","1,218 sqft",2,3,$349k
396,"4101 Cathedral Ave Nw Apt 205, Washington, DC 20016","1,800 sqft",2,3,$725k
397,"1440 Fairmont St Nw, Washington, DC 20009",700 sqft,N/A,N/A,$1.50m
398,"2810 University Ter Nw, Washington, DC 20016","5,645 sqft",7,5,$2.75m
399,"2007 Wyoming Ave Nw #8, Washington, DC 20009",N/A,1,1,$529k
400,"1414 D St Se, Washington, DC 20003","2,450 sqft",4,5,$1.35m
401,"3366 Denver St Se, Washington, DC 20020",0.15 acres,4,3,$520k
402,"2812 Pomeroy Rd Se, Washington, DC 20020",0.08 acres,N/A,N/A,$450k
403,"1816 Burke St Se, Washington, DC 20003","1,629 sqft",2,3,$765k
404,"505 O St Nw Apt 2, Washington, DC 20001","1,030 sqft",2,2,$625k
405,"2531 Benning Rd Ne, Washington, DC 20002","1,632 sqft",2,3,$599k
406,"1526 17th St Nw Apt 215, Washington, DC 20036",850 sqft,2,2,$480k
407,"20 Chesapeake St Se #c-37, Washington, DC 20032",950 sqft,1,1,$30k
408,"1466 Harvard St Nw Apt A2, Washington, DC 20009","1,815 sqft",3,2,$850k
409,"20 Chesapeake St Se #c-36, Washington, DC 20032",950 sqft,1,1,$30k
410,"1000 New Jersey Ave Se Apt 827, Washington, DC 20003",698 sqft,1,1,$374k
411,"1520 Independence Ave Se Apt 303, Washington, DC 20003",607 sqft,1,1,$324k
412,"4600 Connecticut Ave Nw Apt 323, Washington, DC 20008","1,208 sqft",2,3,$525k
413,"5443 B St Se, Washington, DC 20019","1,600 sqft",4,4,$425k
414,"2334 39th St Nw, Washington, DC 20007",0.03 acres,4,4,$1.20m
415,"1518 Mississippi Ave Se, Washington, DC 20032","6,499 sqft",4,4,$750k
416,"1840 Michigan Ave Ne, Washington, DC 20018",0.09 acres,3,3,$629k
417,"460 New York Ave Nw Unit 804, Washington, DC 20001",723 sqft,1,1,$550k
418,"4581 Macarthur Blvd Nw Apt 301, Washington, DC 20007",650 sqft,1,1,$225k
419,"100 Elmira St Sw, Washington, DC 20032","1,024 sqft",1,3,$240k
420,"4740 Connecticut Ave Nw Apt 318, Washington, DC 20008",837 sqft,1,1,$345k
421,"1462 Harvard St Nw #3, Washington, DC 20009",880 sqft,2,2,$599k
422,"1462 Harvard St Nw #4, Washington, DC 20009","1,006 sqft",2,2,$699k
423,"1701 Kalorama Rd Nw Apt 407, Washington, DC 20009","1,045 sqft",1,1,$565k
424,"3162 17th St Nw #1, Washington, DC 20010","2,840 sqft",3,3,$1.15m
425,"811 4th St Nw Unit 608, Washington, DC 20001",692 sqft,1,1,$455k
426,"1136 Branch Ave Se, Washington, DC 20019",0.03 acres,2,2,$300k
427,"7746 16th St Nw, Washington, DC 20012",0.17 acres,7,8,$899k
428,"490 M St Sw Apt W105, Washington, DC 20024",840 sqft,1,1,$400k
429,"5113 Yuma St Nw, Washington, DC 20016","5,078 sqft",5,5,$1.20m
430,"730 24th St Nw Apt 221, Washington, DC 20037",730 sqft,1,1,$289k
431,"2737 Devonshire Pl Nw Suite C, Washington, DC 20008","3,500 sqft",4,3,$1.80m
432,"2620 Moreland Pl Nw, Washington, DC 20015","1,800 sqft",3,4,$1.10m
433,"215 17th St Se #2, Washington, DC 20003","1,250 sqft",3,2,$719k
434,"1628 11th St Nw Unit 108, Washington, DC 20001","1,687 sqft",3,2,$1.31m
435,"4235 Colorado Ave Nw, Washington, DC 20011",0.2 acres,3,4,$999k
436,"3611 Quesada St Nw, Washington, DC 20015","2,190 sqft",3,3,$995k
437,"1323 Clifton St Nw Apt 31, Washington, DC 20009","1,150 sqft",2,2,$739k
438,"1227 Chaplin St Se, Washington, DC 20019","1,448 sqft",2,4,$435k
439,"5064 Sedgwick St Nw, Washington, DC 20016",0.31 acres,5,6,$1.65m
440,"3303 Brown St Nw, Washington, DC 20010","1,995 sqft",4,3,$998k
441,"2311 33rd St Se, Washington, DC 20020","2,052 sqft",2,3,$480k
442,"901 D St Ne Apt 208, Washington, DC 20002","1,628 sqft",2,2,$950k
443,"107 Kentucky Ave Se, Washington, DC 20003","2,224 sqft",4,4,$1.05m
444,"1931 17th St Nw Apt 206, Washington, DC 20009",650 sqft,1,1,$450k
445,"1375 Maryland Ave Ne Apt B, Washington, DC 20002","1,275 sqft",1,1,$549k
446,"5406 Connecticut Ave Nw Apt 407, Washington, DC 20015",552 sqft,1,1,$275k
447,"3628 Reservoir Rd Nw, Washington, DC 20007","3,200 sqft",6,5,$1.54m
448,"1732 18th St Nw, Washington, DC 20009","2,820 sqft",3,4,$1.50m
449,"2778 Unicorn Ln Nw, Washington, DC 20015","4,124 sqft",6,5,$1.24m
450,"1909 N Capitol St Ne, Washington, DC 20002",0.08 acres,2,8,$850k
451,"809 Otis Pl Nw Apt 2, Washington, DC 20010",600 sqft,1,1,$300k
452,"230 Peabody St Ne, Washington, DC 20011","3,405 sqft",4,5,$849k
453,"5000 34th St Nw, Washington, DC 20008","2,940 sqft",3,4,$995k
454,"2815 38th St Nw, Washington, DC 20007","2,130 sqft",3,4,$975k
455,"4609 Hillside Rd Se, Washington, DC 20019",0.07 acres,3,3,$368k
456,"2939 Arizona Ave Nw, Washington, DC 20016","2,120 sqft",2,4,$1.05m
457,"2328 Champlain St Nw Apt 423, Washington, DC 20009","2,300 sqft",3,4,$1.43m
458,"47 Hamilton St Nw, Washington, DC 20011","2,100 sqft",4,4,$700k
459,"2039 New Hampshire Ave Nw #305, Washington, DC 20009","1,750 sqft",1,3,$829k
460,"1005 Congress St Se, Washington, DC 20032",0.1 acres,4,4,$470k
461,"2205 46th St Nw, Washington, DC 20007","2,323 sqft",4,4,$1.48m
462,"2039 New Hampshire Ave Nw #702, Washington, DC 20009","1,675 sqft",2,3,$849k
463,"1858 California St Nw Apt 5, Washington, DC 20009",808 sqft,1,1,$480k
464,"773 10th St Se, Washington, DC 20003","3,070 sqft",4,6,$1.50m
465,"603 Kennedy St Nw #2, Washington, DC 20011","1,000 sqft",2,2,$425k
466,"1435 Jackson St Ne, Washington, DC 20017",0.11 acres,1,2,$499k
467,"2711 Ordway St Nw Apt 105, Washington, DC 20008",779 sqft,1,1,$389k
468,"3709 Windom Pl Nw, Washington, DC 20016","2,954 sqft",4,4,$1.10m
469,"3029 O St Nw, Washington, DC 20007","4,908 sqft",5,5,$2.95m
470,"1503 K St Se #101, Washington, DC 20003",906 sqft,2,2,$549k
471,"2501 Calvert St Nw Apt 405, Washington, DC 20008",726 sqft,1,1,$350k
472,"2238 11th St Nw Apt 1, Washington, DC 20001","1,022 sqft",3,2,$650k
473,"3508 Center St Nw, Washington, DC 20010","1,695 sqft",2,3,$675k
474,"4000 Cathedral Ave Nw Apt 504b, Washington, DC 20016","2,200 sqft",3,4,$890k
475,"127 U St Nw, Washington, DC 20001","2,700 sqft",4,3,$1.25m
476,"1502 13th St Nw Apt 6, Washington, DC 20005",482 sqft,1,1,$399k
477,"1243 E St Ne, Washington, DC 20002","2,160 sqft",4,3,$965k
478,"1860 California St Nw Apt 202, Washington, DC 20009",700 sqft,1,1,$379k
479,"4923 Albemarle St Nw, Washington, DC 20016",0.05 acres,4,5,$1.38m
480,"42 Seaton Pl Nw, Washington, DC 20001","2,660 sqft",4,4,$1.30m
481,"527 10th St Se, Washington, DC 20003","1,642 sqft",3,3,$1.15m
482,"1520 Fort Davis Pl Se, Washington, DC 20020","1,648 sqft",2,3,$400k
483,"819 Sheridan St Nw, Washington, DC 20011","1,184 sqft",1,3,$410k
484,"2220 20th St Nw Apt 67, Washington, DC 20009",500 sqft,1,1,$305k
485,"936 Madison St Nw Apt 104, Washington, DC 20011","1,071 sqft",2,2,$385k
486,"643 8th St Ne, Washington, DC 20002","1,584 sqft",2,3,$850k
487,"1507 Massachusetts Ave Se, Washington, DC 20003","2,379 sqft",3,3,$799k
488,"1521 Corcoran St Nw, Washington, DC 20009","2,606 sqft",5,3,$1.25m
489,"1624 27th St Se, Washington, DC 20020","1,632 sqft",3,4,$349k
490,"2850 Hartford St Se Apt 203, Washington, DC 20020",795 sqft,1,2,$105k
491,"5239 Ames St Ne, Washington, DC 20019","1,750 sqft",3,3,$455k
492,"4020 Mansion Dr Nw, Washington, DC 20007",0.04 acres,4,4,$1.58m
493,"3631 Alabama Ave Se, Washington, DC 20020","3,447 sqft",4,6,$799k
494,"414 Constitution Ave Ne, Washington, DC 20002","3,000 sqft",4,5,$999k
495,"304 Oklahoma Ave Ne Apt 1, Washington, DC 20002",691 sqft,1,1,$290k
496,"331 K St Ne, Washington, DC 20002","1,264 sqft",2,3,$749k
497,"3028 Wisconsin Ave Nw Apt 307, Washington, DC 20016",545 sqft,1,1,$279k
498,"1245 4th St Sw Apt E302, Washington, DC 20024",959 sqft,1,1,$399k
499,"2526 17th St Nw Apt 301, Washington, DC 20009","3,648 sqft",2,3,$1.45m
500,"433 Ridge St Nw, Washington, DC 20001",992 sqft,1,2,$730k
501,"1514 17th St Nw Apt 412, Washington, DC 20036",475 sqft,1,N/A,$265k
502,"6229 30th St Nw, Washington, DC 20015","2,730 sqft",4,4,$1.15m
503,"4411 1st Pl Ne Apt 38, Washington, DC 20011",728 sqft,1,2,$275k
504,"440 12th St Ne Apt 209, Washington, DC 20002","1,170 sqft",1,2,$570k
505,"1601 18th St Nw Apt 807, Washington, DC 20009",650 sqft,1,1,$360k
506,"919 Florida Ave Nw Apt 503, Washington, DC 20001",863 sqft,2,2,$624k
507,"2107 37th St Nw, Washington, DC 20007","1,178 sqft",2,2,$819k
508,"518 Missouri Ave Nw, Washington, DC 20011","1,578 sqft",3,3,$616k
509,"2134 30th St Ne, Washington, DC 20018","2,266 sqft",4,5,$729k
510,"3576 Winfield Ln Nw, Washington, DC 20007","2,622 sqft",4,3,$1.50m
511,"6315 9th St Nw, Washington, DC 20011",0.03 acres,4,3,$585k
512,"3506 Livingston St Nw, Washington, DC 20015","2,653 sqft",4,4,$999k
513,"56 Girard St Ne, Washington, DC 20002","1,944 sqft",4,3,$730k
514,"3608 Carpenter St Se, Washington, DC 20020",0.14 acres,4,3,$590k
515,"1802 24th Pl Se, Washington, DC 20020","2,172 sqft",3,4,$600k
516,"1260 21st St Nw Apt 211, Washington, DC 20036",907 sqft,1,2,$490k
517,"1111 Orren St Ne Unit 401, Washington, DC 20002",764 sqft,1,2,$519k
518,"2100 11th St Nw Apt G01, Washington, DC 20001","1,340 sqft",2,2,$729k
519,"2111 Wisconsin Ave Nw Penthouse 7, Washington, DC 20007","1,423 sqft",3,2,$1.05m
520,"1444 Taylor St Nw Unit 01, Washington, DC 20011","1,050 sqft",3,2,$569k
521,"1111 25th St Nw Apt 923, Washington, DC 20037",796 sqft,1,1,$620k
522,"151 V St Nw Apt 2, Washington, DC 20001","1,823 sqft",3,2,$849k
523,"57 N St Nw #523, Washington, DC 20001",721 sqft,1,1,$590k
524,"560 N St Sw Apt N816, Washington, DC 20024",955 sqft,1,2,$465k
525,"1155 23rd St Nw Apt 2e, Washington, DC 20037","1,779 sqft",2,1,$1.10m
526,"510 N St Sw Apt N524, Washington, DC 20024",810 sqft,1,1,$360k
527,"1155 23rd St Nw Apt 4a, Washington, DC 20037","1,674 sqft",2,2,$1.35m
528,"3303 Water St Nw Unit 4d, Washington, DC 20007","1,400 sqft",2,2,$1.75m
529,"4300 Kansas Ave Nw, Washington, DC 20011",0.06 acres,5,6,$950k
530,"1225 13th St Nw Apt 101, Washington, DC 20005",437 sqft,1,1,$320k
531,"0000 Laurelwood Cir, Murphy, NC",1.29 acres,N/A,N/A,$11k
532,"3114 13th St Nw #a, Washington, DC 20010","1,205 sqft",2,2,$550k
533,"406 M St Nw Apt 3, Washington, DC 20001","1,038 sqft",2,2,$520k
534,"5422 Nevada Ave Nw, Washington, DC 20015","3,162 sqft",4,5,$1.40m
535,"5029 7th St Nw, Washington, DC 20011",0.04 acres,4,4,$830k
536,"2261 16th St Ne, Washington, DC 20018","1,088 sqft",2,3,$450k
537,"1646 Foxhall Rd Nw, Washington, DC 20007","1,290 sqft",2,3,$1.10m
538,"625 M St Ne, Washington, DC 20002",0.04 acres,2,3,$675k
539,"5025 -5031 Sheriff Rd Ne, Washington, DC 20019",0.05 acres,1,2,$275k
540,"925 H St Nw Apt 608, Washington, DC 20001",895 sqft,2,2,$890k
541,"1626 Trinidad Ave Ne #1, Washington, DC 20002","2,200 sqft",3,4,$636k
542,"1626 Trinidad Ave Ne #2, Washington, DC 20002","2,200 sqft",3,4,$695k
543,"1427 Chapin St Nw Apt 202, Washington, DC 20009",800 sqft,1,2,$525k
544,"2328 Champlain St Nw Apt 401, Washington, DC 20009","3,200 sqft",3,2,$2.00m
545,"3883 Connecticut Ave Nw Apt 609, Washington, DC 20008","1,015 sqft",2,2,$649k
546,"339 14th St Ne, Washington, DC 20002",0.03 acres,2,3,$700k
547,"770 Lamont St Nw, Washington, DC 20010","1,014 sqft",2,2,$647k
548,"1813 13th St Nw Apt 1, Washington, DC 20009","1,886 sqft",2,2,$949k
549,"777 7th St Nw Apt 708, Washington, DC 20001",793 sqft,1,1,$439k
550,"1448 Sheridan St Nw, Washington, DC 20011","1,296 sqft",4,3,$600k
551,"2120 Vermont Ave Nw Apt 623, Washington, DC 20001","1,622 sqft",2,2,$1.05m
552,"1346 Jackson St Ne, Washington, DC 20017","1,127 sqft",2,2,$735k
553,"1011 M St Nw Unit 601, Washington, DC 20001",835 sqft,1,1,$600k
554,"1321 Euclid St Nw Apt 401, Washington, DC 20009",675 sqft,1,1,$449k
555,"Ainger Pl Se, Washington, DC 20020",1.33 acres,N/A,N/A,$1.50m
556,"4608 4th St Nw, Washington, DC 20011","3,264 sqft",3.5,2,$549k
557,"5300 Illinois Ave Nw, Washington, DC 20011","1,458 sqft",3,4,$525k
558,"2555 Pennsylvania Ave Nw Apt 506, Washington, DC 20037","1,223 sqft",2,2,$945k
559,"2819 11th St Nw #1, Washington, DC 20001","1,500 sqft",2,4,$799k
560,"2931 Foxhall Rd Nw, Washington, DC 20016","5,728 sqft",6,6,$2.80m
561,"1630 New Jersey Ave Nw, Washington, DC 20001",0.02 acres,2,3,$710k
562,"3009 Otis St Ne, Washington, DC 20018","1,515 sqft",4,3,$500k
563,"3823 Rodman St Nw Apt D22, Washington, DC 20016",833 sqft,1,2,$450k
564,"421 Missouri Ave Nw, Washington, DC 20011",0.03 acres,4,4,$700k
565,"802 Rittenhouse St Nw, Washington, DC 20011","1,212 sqft",2,2,$530k
566,"5323 Chillum Pl Ne, Washington, DC 20011","1,734 sqft",4,3,$600k
567,"1424 Perry Pl Nw, Washington, DC 20010","2,200 sqft",4,4,$960k
568,"218 S Carolina Ave Se, Washington, DC 20003","1,864 sqft",3,4,$995k
569,"3823 Rodman St Nw Apt A19, Washington, DC 20016","1,322 sqft",3,2,$549k
570,"1417 D St Ne, Washington, DC 20002",157 sqft,2,3,$600k
571,"5316 42nd St Nw, Washington, DC 20015","5,300 sqft",7,5,$1.98m
572,"934 Westminster St Nw, Washington, DC 20001","2,026 sqft",3,4,$1.38m
573,"1272 Oates St Ne, Washington, DC 20002","1,294 sqft",4,4,$800k
574,"1117 10th St Nw Apt 206, Washington, DC 20001",850 sqft,1,1,$515k
575,"77 V St Nw, Washington, DC 20001","2,800 sqft",4,5,$1.60m
576,"2325 42nd St Nw Apt 213, Washington, DC 20007",678 sqft,1,1,$300k
577,"1223 Pleasant St Se, Washington, DC 20020","1,626 sqft",3,3,$505k
578,"2841 Mills Ave Ne, Washington, DC 20018","1,610 sqft",2,4,$550k
579,"1336 Jackson St Ne, Washington, DC 20017","1,256 sqft",2,3,$600k
580,"1441 Rhode Island Ave Nw Apt 907, Washington, DC 20005",693 sqft,1,1,$495k
581,"5264 Loughboro Rd Nw, Washington, DC 20016","4,200 sqft",6,6,$1.75m
582,"5106 Sheriff Rd Ne, Washington, DC 20019","1,156 sqft",2,3,$260k
583,"5507 Blair Rd Ne, Washington, DC 20011","2,907 sqft",2,3,$575k
584,"316 Nicholson St Ne, Washington, DC 20011","1,100 sqft",3,3,$249k
585,"1412 Crittenden St Nw, Washington, DC 20011","2,960 sqft",4,6,$1.25m
586,"7527 9th St Nw, Washington, DC 20012","1,088 sqft",1.5,3,$515k
587,"1241 18th St Ne #6, Washington, DC 20002",870 sqft,2,2,$339k
588,"317 L St Se, Washington, DC 20003","1,690 sqft",3,4,$925k
589,"226 11th St Se, Washington, DC 20003","1,854 sqft",3,3,$950k
590,"1511 A St Se, Washington, DC 20003","1,296 sqft",2,4,$1.00m
591,"5426 B St Se, Washington, DC 20019",0.07 acres,2,2,$349k
592,"1313 Irving St Nw #2, Washington, DC 20010","1,628 sqft",3,2,$1.00m
593,"1313 Irving St Nw #1, Washington, DC 20010","1,915 sqft",3,3,$900k
594,"310 Taylor St Nw, Washington, DC 20011","2,000 sqft",4,4,$600k
595,"421 12th St Se, Washington, DC 20003","1,020 sqft",1,2,$590k
596,"3001 11th St Nw, Washington, DC 20001","2,170 sqft",3,4,$840k
597,"2326 California St Nw, Washington, DC 20008","4,140 sqft",5,4,$2.50m
598,"926 Shepherd St Nw, Washington, DC 20011",0.04 acres,2,3,$700k
599,"2500 Q St Nw Apt 603, Washington, DC 20007",799 sqft,1,1,$350k
600,"1657 31st St Nw Apt 107, Washington, DC 20007",395 sqft,1,N/A,$285k
601,"1814 Benning Rd Ne, Washington, DC 20002","1,776 sqft",N/A,N/A,$585k
602,"400 Massachusetts Ave Nw Apt 505, Washington, DC 20001",780 sqft,1,1,$479k
603,"5310 Kansas Ave Nw, Washington, DC 20011","1,377 sqft",3.5,5,$849k
604,"3100 Connecticut Ave Nw Apt 118, Washington, DC 20008",831 sqft,1,1,$410k
605,"1013 46th St Ne, Washington, DC 20019",0.06 acres,N/A,N/A,$350k
606,"5102 11th St Ne, Washington, DC 20011",0.07 acres,2,3,$450k
607,"5722 Chillum Pl Ne, Washington, DC 20011",864 sqft,1,2,$356k
608,"1108 Columbia Rd Nw Apt 107, Washington, DC 20009",435 sqft,1,1,$320k
609,"1415 G St Se, Washington, DC 20003","2,016 sqft",3,4,$740k
610,"1406 S St Se, Washington, DC 20020","2,192 sqft",3,4,$435k
611,"1239 Potomac Ave Se, Washington, DC 20003",0.03 acres,2,3,$850k
612,"2023 Spruce Dr Nw, Washington, DC 20012","3,800 sqft",4.5,6,$1.33m
613,"3937 S St Se Apt 206, Washington, DC 20020",623 sqft,1,1,$85k
614,"3953 Ames St Ne, Washington, DC 20019","1,392 sqft",2,3,$300k
615,"2149 California St Nw Apt G, Washington, DC 20008",989 sqft,1.5,2,$585k
616,"1219 47th Pl Ne, Washington, DC 20019",0.05 acres,3,5,$345k
617,"3806 Hansberry Ct Ne, Washington, DC 20018","2,200 sqft",3,3,$580k
618,"3001 Veazey Ter Nw Apt 1517, Washington, DC 20008","1,385 sqft",2,2,$531k
619,"4705 13th Pl Ne, Washington, DC 20017","2,040 sqft",3,3,$420k
620,"130 Chesapeake St Sw, Washington, DC 20032","1,040 sqft",2,3,$360k
621,"800 4th St Sw Apt N516, Washington, DC 20024",588 sqft,1,N/A,$369k
622,"1417 Carrollsburg Pl Sw, Washington, DC 20024",0.03 acres,3,2,$720k
623,"58 Darrington St Sw, Washington, DC 20032","1,016 sqft",2,3,$265k
624,"642 Columbia Rd Nw, Washington, DC 20001","2,587 sqft",5,5,$950k
625,"700 New Hampshire Ave Nw #1021, Washington, DC 20037","3,200 sqft",2.5,2,$3.30m
626,"2214 11th St Nw #4, Washington, DC 20001","1,700 sqft",3,3,$1.18m
627,"83 R St Nw, Washington, DC 20001","2,200 sqft",3.5,4,$975k
628,"208 45th St Ne, Washington, DC 20019",0.11 acres,3,4,$495k
629,"3511 13th St Nw Apt 404, Washington, DC 20010",668 sqft,1,2,$400k
630,"3422 N St Nw, Washington, DC 20007","1,684 sqft",2.5,2,$1.45m
631,"127 R St Ne, Washington, DC 20002","2,212 sqft",3,3,$750k
632,"3430 34th Pl Nw, Washington, DC 20016","5,390 sqft",5,5,$2.25m
633,"526 3rd St Ne, Washington, DC 20002","2,523 sqft",4,4,$1.39m
634,"644 Ridge Rd Se, Washington, DC 20019","1,350 sqft",2,3,$499k
635,"3901 New Hampshire Ave Nw, Washington, DC 20011","2,908 sqft",2,5,$800k
636,"1527 23rd St Se, Washington, DC 20020",0.06 acres,1,3,$338k
637,"1830 17th St Nw Apt 706, Washington, DC 20009",846 sqft,2,2,$620k
638,"3320 Reservoir Rd Nw, Washington, DC 20007","2,010 sqft",4,4,$2.15m
639,"762 Harvard St Nw, Washington, DC 20001","1,418 sqft",1,3,$630k
640,"103 E St Se, Washington, DC 20003",0.03 acres,4,4,$1.24m
641,"436 Newton Pl Nw, Washington, DC 20010","2,357 sqft",1.5,3,$725k
642,"3306 R St Nw, Washington, DC 20007","2,663 sqft",3.5,3,$2.50m
643,"3281 Sutton Pl Nw Apt D, Washington, DC 20016","1,332 sqft",2.5,2,$700k
644,"555 Massachusetts Ave Nw Apt 514, Washington, DC 20001",500 sqft,1,N/A,$325k
645,"2726 Ordway St Nw Apt 6, Washington, DC 20008",763 sqft,1,1,$359k
646,"1133 13th St Nw #204/2e, Washington, DC 20005",435 sqft,1,1,$275k
647,"1737 New Hampshire Ave Nw Apt 2, Washington, DC 20009","1,480 sqft",2.5,2,$1.15m
648,"777 7th St Nw Apt 1022, Washington, DC 20001",841 sqft,1,1,$469k
649,"5721 Blaine St Ne, Washington, DC 20019","1,188 sqft",1.5,3,$275k
650,"12 Rhode Island Ave Ne #2, Washington, DC 20002","1,525 sqft",3,3,$790k
651,"2900 K St Nw #605, Washington, DC 20007","1,813 sqft",2,2,$1.50m
652,"2920 Sherman Ave Nw Apt 2, Washington, DC 20001","1,125 sqft",2,2,$626k
653,"787 19th St Ne, Washington, DC 20002","1,188 sqft",1,3,$500k
654,"1301 Longfellow St Nw Apt 205, Washington, DC 20011",582 sqft,1,1,$235k
655,"1815 Benning Rd Ne Apt 3, Washington, DC 20002",652 sqft,1,1,$329k
