,Address,Area,Baths,Beds,Price
75,"5037 Meade St Ne, Washington, DC 20019","1,740 sqft",2,4,$400k
76,"2551 Alabama Ave Se, Washington, DC 20020",0.03 acres,2,3,$300k
77,"3815 25th Pl Ne, Washington, DC 20018",0.09 acres,2,3,$449k
78,"922 I St Se, Washington, DC 20003","3,070 sqft",N/A,N/A,$1.50m
79,"1308 Belmont St Nw Apt 1, Washington, DC 20009","1,050 sqft",2,2,$649k
80,"3003 7th St Ne, Washington, DC 20017","1,700 sqft",4,4,$650k
81,"2401 H St Nw Apt 804, Washington, DC 20037",898 sqft,1,2,$440k
82,"926 N Carolina Ave Se, Washington, DC 20003","2,400 sqft",3,3,$1.24m
83,"5032 A St Se, Washington, DC 20019",0.09 acres,4,4,$491k
84,"4435 7th St Ne, Washington, DC 20017",0.07 acres,2,3,$490k
85,"3832 Mckinley St Nw, Washington, DC 20015","2,853 sqft",N/A,5,$850k
86,"1609 35th St Nw, Washington, DC 20007","4,757 sqft",5,5,$3.00m
87,"91 Danbury St Sw, Washington, DC 20032","1,152 sqft",4,3,$350k
88,"2222 Observatory Pl Nw, Washington, DC 20007","1,530 sqft",2,4,$775k
89,"5442 Chevy Chase Pkwy Nw, Washington, DC 20015",0.1 acres,4,4,$1.15m
90,"3415 P St Nw, Washington, DC 20007",0.03 acres,2,2,$1.60m
91,"534 Irving St Nw, Washington, DC 20010","1,250 sqft",2,3,$699k
92,"6315 13th St Nw, Washington, DC 20011","2,320 sqft",3,4,$750k
93,"625 Darrington St Se, Washington, DC 20032",0.04 acres,3,3,$330k
94,"1077 Paper Mill Ct Nw #1077, Washington, DC 20007","1,300 sqft",2,4,$880k
95,"1543 Upshur St Nw, Washington, DC 20011","3,300 sqft",4,4,$998k
96,"3600 Wright Ter Ne, Washington, DC 20018","2,600 sqft",4,4,$650k
97,"1311 Rhode Island Ave Nw, Washington, DC 20005","4,226 sqft",N/A,N/A,$2.90m
98,"1801 16th St Nw Apt 101, Washington, DC 20009",381 sqft,1,N/A,$285k
99,"301&303 N. Frnt Street, Wheeling, WV 20003","4,266 sqft",N/A,N/A,$215k
100,"262 56th Pl Ne, Washington, DC 20019",0.05 acres,2,2,$320k
101,"921 11th St Ne, Washington, DC 20002","2,400 sqft",3,3,$949k
102,"1524 19th St Se, Washington, DC 20020",0.04 acres,3,3,$580k
103,"2115 2nd St Nw, Washington, DC 20001",0.11 acres,N/A,N/A,$950k
104,"1910 Kalorama Rd Nw Apt 105, Washington, DC 20009",753 sqft,1,1,$464k
105,"700 New Hampshire Ave Nw #318, Washington, DC 20037","2,336 sqft",3,3,$1.85m
106,"519 Q St Nw, Washington, DC 20001",0.03 acres,N/A,N/A,$1.30m
107,"1626 Montague St Nw, Washington, DC 20011","2,400 sqft",4,4,$1.40m
